"filename", "language", "Python", "TypeScript", "HTML", "JavaScript", "PostCSS", "TypeScript JSX", "JSON", "JSON with Comments", "Markdown", "Docker", "YAML", "Ini", "Java", "Shell Script", "Properties", "XML", "MS SQL", "pip requirements", "comment", "blank", "total"
"/home/liush/projects/serverlessAIAgents/apps/AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 330
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 28
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/__init__.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 55
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/base.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 23, 170
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/factory.py", "Python", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 42, 280
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/skills.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/source/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/source/cobol_adapter.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 32, 213
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/source/fortran_adapter.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 53, 418
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/source/pli_adapter.py", "Python", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 55, 428
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/source/rpg_adapter.py", "Python", 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 62, 460
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/target/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/target/java_adapter.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 42, 279
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/adapters/target/springboot_adapter.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 15, 127
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agent.py", "Python", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 56, 380
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/__init__.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 40
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/cards.py", "Python", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 187
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/code_transformation_agent.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 121
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/compliance_reporter_agent.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 62
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/differential_verification_agent.py", "Python", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 41, 316
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/legacy_analysis_agent.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 114
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/limited_fixer_agent.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 112
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/migration_design_agent.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 97
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/prompts.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 72
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/quality_gate_agent.py", "Python", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 172
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/agents/test_synthesis_agent.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 71
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/api.py", "Python", 576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 70, 762
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/backend/app.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 38, 237
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/cli.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 29, 149
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/config/migration_types.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 56, 6, 106
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/config/type_mappings/cobol_java_types.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 14, 19, 111
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/docs/DESIGN.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 168
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/docs/architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 59
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/docs/plan/agents改善.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 295
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/engine.py", "Python", 721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 117, 919
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/examples/Calculator.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 16, 3, 28
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/examples/EmployeeManager.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 38, 4, 60
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/frontend/app.js", "JavaScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 209
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/frontend/index.html", "HTML", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 192
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/frontend/style.css", "PostCSS", 0, 0, 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74, 537
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/frontend/webapp.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 155
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/i18n.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 38
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/locales/en.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/locales/ja.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/locales/zh.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/__init__.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 33
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/cobol_parser.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 45, 338
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/code_validator.py", "Python", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 52, 372
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/java_generator.py", "Python", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 57, 413
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/memory_system.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 25, 179
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/pdf_exporter.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 67
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/mcp_tools/reflection_pattern.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 31, 239
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/orchestrator.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 28, 308
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/parsers/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 11
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/parsers/ply_cobol_parser.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 27, 186
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/run_server.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 5, 16
"/home/liush/projects/serverlessAIAgents/apps/code_migration_assistant/skills/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 17
